voici	ADV	voici
la	DET:ART	le
nouvelle	ADJ	nouveau
composition	NOM	composition
du	PRP:det	du
conseil	NOM	conseil
des	PRP:det	du
prud'hommes	NOM	prud'homme
de	PRP	de
bar-le-duc	NOM	bar-le-duc
pour	PRP	pour
l'	DET:ART	le
exercice	NOM	exercice
2003	NUM	@card@
président	NOM	président
général	ADJ	général
:	PUN	:
gérard	ADJ	gérard
bertier	NOM	bertier
;	PUN	;
vice-président	NOM	vice-président
général	ADJ	général
:	PUN	:
jean-claude	NOM	jean-claude
rylko	ADJ	rylko
.	SENT	.
section	NOM	section
industrie	NOM	industrie
.	SENT	.
-	PUN	-
président	NOM	président
:	PUN	:
jean-claude	NOM	jean-claude
rylko	ADJ	rylko
(	PUN	(
collège	NOM	collège
employeur	NOM	employeur
)	PUN	)
;	PUN	;
vice-président	NOM	vice-président
:	PUN	:
gérard	ADJ	gérard
bertier	NOM	bertier
(	PUN	(
collège	NOM	collège
salarié	ADJ	salarié
).	VER:simp	).
section	NOM	section
commerce	NOM	commerce
.	SENT	.
-	PUN	-
président	NOM	président
:	PUN	:
martine	VER:pres	martiner
briey	NOM	briey
(	PUN	(
salarié	VER:pper	salarier
)	PUN	)
;	PUN	;
vice-président	NOM	vice-président
:	PUN	:
jack	NOM	jack
billet	NOM	billet
(	PUN	(
employeur	NOM	employeur
).	VER:ppre	).
section	NOM	section
activités	NOM	activité
diverses	ADJ	divers
.	SENT	.
-	PUN	-
président	NOM	président
:	PUN	:
anne-marie	NOM	anne-marie
de	PRP	de
warren	NOM	warren
(	PUN	(
employeur	NOM	employeur
)	PUN	)
;	PUN	;
vice-président	NOM	vice-président
:	PUN	:
odette	NOM	odette
rocher	NOM	rocher
(	PUN	(
salarié	VER:pper	salarier
).	ADJ	).
section	NOM	section
encadrement	NOM	encadrement
.	SENT	.
-	PUN	-
président	NOM	président
:	PUN	:
jean-louis	NOM	jean-louis
duclerget	NOM	duclerget
(	PUN	(
employeur	NOM	employeur
)	PUN	)
;	PUN	;
vice-président	NOM	vice-président
:	PUN	:
thérèse	NOM	thérèse
delawoevre	NOM	delawoevre
(	PUN	(
salarié	VER:pper	salarier
).	ADJ	).
section	NOM	section
agriculture	NOM	agriculture
.	SENT	.
-	PUN	-
président	NOM	président
:	PUN	:
nicole	ADJ	nicole
laurent	VER:pres	laurer
(	PUN	(
salarié	VER:pper	salarier
)	PUN	)
;	PUN	;
vice-président	NOM	vice-président
:	PUN	:
gérard	NOM	gérard
laurent	VER:pres	laurer
(	PUN	(
employeur	NOM	employeur
).	ADJ	).
concernant	VER:ppre	concerner
les	DET:ART	le
référés	NOM	référé
,	PUN	,
le	DET:ART	le
collège	NOM	collège
employeurs	NOM	employeur
est	VER:pres	être
composé	VER:pper	composer
comme	KON	comme
suit	VER:pres	suivre
:	PUN	:
danielle	ADJ	danielle
boinette	NOM	boinette
,	PUN	,
marise	VER:pres	marise
donnais	VER:impf	donner
,	PUN	,
jean-louis	NOM	jean-louis
duclerget	NOM	duclerget
,	PUN	,
didier	ADJ	didier
reverdy	NOM	reverdy
,	PUN	,
jean-claude	NOM	jean-claude
rylko	ADJ	rylko
et	KON	et
joseph	ADJ	joseph
slinkman	NOM	slinkman
.	SENT	.
six	NUM	six
autres	ADJ	autre
personnes	NOM	personne
interviendront	VER:futu	intervenir
au	PRP:det	au
nom	NOM	nom
des	PRP:det	du
salariés	NOM	salarié
:	PUN	:
bernard	NOM	bernard
bise	ADJ	bis
,	PUN	,
claude	NOM	claude
corringer	ADJ	corringer
,	PUN	,
nicole	ADJ	nicole
laurent	VER:pres	laurer
,	PUN	,
frédéric	ADJ	frédéric
richard	NOM	richard
,	PUN	,
odette	NOM	odette
rocher	NOM	rocher
et	KON	et
doris	NOM	doris
warth	ADJ	warth
.	SENT	.
